"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","2/117","30/7119",0.0666666666666667,4.05641025641026,2.16840628333357,0.0864871450242574,0.940187473723539,0.940187473723539,"1644/126",2,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","4/117","102/7119",0.0392156862745098,2.38612368024133,1.82258251730836,0.08665186729507,0.940187473723539,0.940187473723539,"4681/100532736/269/3626",4,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","2/117","33/7119",0.0606060606060606,3.68764568764569,2.00027303559195,0.101747071943877,0.940187473723539,0.940187473723539,"6652/7367",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","2/117","33/7119",0.0606060606060606,3.68764568764569,2.00027303559195,0.101747071943877,0.940187473723539,0.940187473723539,"5320/80168",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","2/117","34/7119",0.0588235294117647,3.57918552036199,1.94855640879361,0.106988947767246,0.940187473723539,0.940187473723539,"80150/8659",2,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04081","Hormone signaling","5/117","154/7119",0.0324675324675325,1.97552447552448,1.58197217196706,0.109121313534691,0.940187473723539,0.940187473723539,"4986/3480/59345/4880/269",5,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","3/117","74/7119",0.0405405405405405,2.46673596673597,1.63941223662998,0.121685240941371,0.940187473723539,0.940187473723539,"29119/1496/27092",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/117","38/7119",0.0526315789473684,3.20242914979757,1.75957311254874,0.128631738911219,0.940187473723539,0.940187473723539,"51166/1644",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","3/117","80/7119",0.0375,2.28173076923077,1.490209029321,0.144050281069533,0.940187473723539,0.940187473723539,"10257/7367/8647",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","2/117","41/7119",0.048780487804878,2.96810506566604,1.63360027506278,0.145474679176285,0.940187473723539,0.940187473723539,"2181/126",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","2/117","46/7119",0.0434782608695652,2.64548494983278,1.44721105289598,0.174453414856773,0.940187473723539,0.940187473723539,"11112/3157",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","3/117","89/7119",0.0337078651685393,2.05099394987035,1.28966949158468,0.179863478227771,0.940187473723539,0.940187473723539,"5583/5734/79054",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/117","47/7119",0.0425531914893617,2.58919803600655,1.41291713533552,0.18035895526704,0.940187473723539,0.940187473723539,"6611/27232",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","2/117","47/7119",0.0425531914893617,2.58919803600655,1.41291713533552,0.18035895526704,0.940187473723539,0.940187473723539,"6611/8659",2,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04082","Neuroactive ligand signaling","4/117","142/7119",0.028169014084507,1.71397616468039,1.1108473766934,0.204973053473456,0.940187473723539,0.940187473723539,"4986/2897/59345/2898",4,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/117","14/7119",0.0714285714285714,4.34615384615385,1.61990203444635,0.207223608863834,0.940187473723539,0.940187473723539,"1644",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/117","14/7119",0.0714285714285714,4.34615384615385,1.61990203444635,0.207223608863834,0.940187473723539,0.940187473723539,"8869",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","3/117","99/7119",0.0303030303030303,1.84382284382284,1.09285159153796,0.222121049022098,0.940187473723539,0.940187473723539,"7113/3480/354",3,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","5/117","198/7119",0.0252525252525253,1.53651903651904,0.989678591967192,0.225987348084535,0.940187473723539,0.940187473723539,"57007/9466/269/7852/3626",5,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","3/117","101/7119",0.0297029702970297,1.80731150038081,1.05622395651245,0.230809656636819,0.940187473723539,0.940187473723539,"715/8970/8332",3,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","1/117","16/7119",0.0625,3.80288461538462,1.45079207070356,0.233120174332798,0.940187473723539,0.940187473723539,"27328",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","2/117","56/7119",0.0357142857142857,2.17307692307692,1.1391653623031,0.234578673855538,0.940187473723539,0.940187473723539,"5320/3248",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","10/117","468/7119",0.0213675213675214,1.30013149243918,0.868264190470051,0.239126534147367,0.940187473723539,0.940187473723539,"1612/3915/3480/59345/29119/3912/1496/5734/7852/354",10,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","1/117","17/7119",0.0588235294117647,3.57918552036199,1.37618740298045,0.245752152314364,0.940187473723539,0.940187473723539,"3817",1,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","2/117","58/7119",0.0344827586206897,2.09814323607427,1.08542732737494,0.246789637118942,0.940187473723539,0.940187473723539,"57007/7852",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","2/117","58/7119",0.0344827586206897,2.09814323607427,1.08542732737494,0.246789637118942,0.940187473723539,0.940187473723539,"2153/715",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","2/117","59/7119",0.0338983050847458,2.0625814863103,1.05936780334343,0.252904965072945,0.940187473723539,0.940187473723539,"2026/126",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","2/117","59/7119",0.0338983050847458,2.0625814863103,1.05936780334343,0.252904965072945,0.940187473723539,0.940187473723539,"29119/1496",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","1/117","18/7119",0.0555555555555556,3.38034188034188,1.30700335829007,0.25817780680313,0.940187473723539,0.940187473723539,"1718",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","1/117","18/7119",0.0555555555555556,3.38034188034188,1.30700335829007,0.25817780680313,0.940187473723539,0.940187473723539,"116285",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","2/117","60/7119",0.0333333333333333,2.02820512820513,1.03381938030615,0.259024399980126,0.940187473723539,0.940187473723539,"7367/126",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","3/117","109/7119",0.0275229357798165,1.67466478475653,0.917493828173527,0.266131474448766,0.940187473723539,0.940187473723539,"2194/79966/126",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","1/117","19/7119",0.0526315789473684,3.20242914979757,1.24254018183793,0.270400479187869,0.940187473723539,0.940187473723539,"6675",1,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04517","IgSF CAM signaling","6/117","267/7119",0.0224719101123595,1.36732929991357,0.790794052076455,0.275145851959498,0.940187473723539,0.940187473723539,"6585/113457/22865/112714/10451/6900",6,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Substance dependence","hsa05034","Alcoholism","4/117","162/7119",0.0246913580246914,1.50237416904084,0.83605466778786,0.276109665954895,0.940187473723539,0.940187473723539,"1644/59345/8970/8332",4,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","2/117","64/7119",0.03125,1.90144230769231,0.936354462371756,0.28350862822851,0.940187473723539,0.940187473723539,"7367/126",2,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","3/117","115/7119",0.0260869565217391,1.58729096989967,0.820710602948011,0.293043393783197,0.940187473723539,0.940187473723539,"3480/2194/79966",3,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","3/117","115/7119",0.0260869565217391,1.58729096989967,0.820710602948011,0.293043393783197,0.940187473723539,0.940187473723539,"5320/5583/4880",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","1/117","21/7119",0.0476190476190476,2.8974358974359,1.12556254312212,0.294249975802012,0.940187473723539,0.940187473723539,"55790",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/117","21/7119",0.0476190476190476,2.8974358974359,1.12556254312212,0.294249975802012,0.940187473723539,0.940187473723539,"90161",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","1/117","23/7119",0.0434782608695652,2.64548494983278,1.02167295813805,0.31732631553539,0.940187473723539,0.940187473723539,"3157",1,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","3/117","124/7119",0.0241935483870968,1.47208436724566,0.685484236220518,0.33371238652989,0.940187473723539,0.940187473723539,"9455/3480/10769",3,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","5/117","233/7119",0.0214592274678112,1.30571145592605,0.613291625126397,0.33694596036356,0.940187473723539,0.940187473723539,"4986/1135/2897/2898/5734",5,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05214","Glioma","2/117","73/7119",0.0273972602739726,1.66701791359326,0.740437622617684,0.338217822559446,0.940187473723539,0.940187473723539,"3480/57118",2,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","3/117","125/7119",0.024,1.46030769230769,0.671121720197438,0.338235709215819,0.940187473723539,0.940187473723539,"22865/5797/6900",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","2/117","75/7119",0.0266666666666667,1.6225641025641,0.700593176131188,0.35023027659449,0.940187473723539,0.940187473723539,"3614/7367",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","2/117","76/7119",0.0263157894736842,1.60121457489879,0.681111670610048,0.356209745441073,0.940187473723539,0.940187473723539,"4094/84441",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/117","27/7119",0.037037037037037,2.25356125356125,0.843536633599241,0.361258152907807,0.940187473723539,0.940187473723539,"5320",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","2/117","77/7119",0.025974025974026,1.58041958041958,0.661912033544009,0.362170004370231,0.940187473723539,0.940187473723539,"29119/1496",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","2/117","77/7119",0.025974025974026,1.58041958041958,0.661912033544009,0.362170004370231,0.940187473723539,0.940187473723539,"3915/3912",2,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","1/117","28/7119",0.0357142857142857,2.17307692307692,0.803919630957042,0.371795772212627,0.940187473723539,0.940187473723539,"10257",1,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","1/117","28/7119",0.0357142857142857,2.17307692307692,0.803919630957042,0.371795772212627,0.940187473723539,0.940187473723539,"25937",1,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04981","Folate transport and metabolism","1/117","28/7119",0.0357142857142857,2.17307692307692,0.803919630957042,0.371795772212627,0.940187473723539,0.940187473723539,"10257",1,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","2/117","80/7119",0.025,1.52115384615385,0.605921450781682,0.379925896204805,0.940187473723539,0.940187473723539,"3915/3912",2,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","2/117","80/7119",0.025,1.52115384615385,0.605921450781682,0.379925896204805,0.940187473723539,0.940187473723539,"113457/112714",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","1/117","29/7119",0.0344827586206897,2.09814323607427,0.765941748317674,0.382161009083467,0.940187473723539,0.940187473723539,"7367",1,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","4/117","191/7119",0.0209424083769634,1.27426500201369,0.496642642453406,0.384510506673921,0.940187473723539,0.940187473723539,"3915/3480/3912/10451",4,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","2/117","81/7119",0.0246913580246914,1.50237416904084,0.587768149623109,0.385799870532993,0.940187473723539,0.940187473723539,"2181/5192",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","2/117","81/7119",0.0246913580246914,1.50237416904084,0.587768149623109,0.385799870532993,0.940187473723539,0.940187473723539,"59345/8913",2,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04382","Cornified envelope formation","3/117","137/7119",0.0218978102189781,1.33239752947782,0.507795698984773,0.3922455082083,0.940187473723539,0.940187473723539,"147409/7053/5317",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","1/117","30/7119",0.0333333333333333,2.02820512820513,0.72947224800064,0.392356659568267,0.940187473723539,0.940187473723539,"51166",1,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","1/117","31/7119",0.032258064516129,1.96277915632754,0.694394930266147,0.402385474751017,0.940187473723539,0.940187473723539,"64422",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","2/117","85/7119",0.0235294117647059,1.4316742081448,0.517517751684646,0.409050321146663,0.940187473723539,0.940187473723539,"57118/8913",2,"KEGG","Bica_vs_Control_DHT"
NA,NA,"hsa04518","Integrin signaling","3/117","141/7119",0.0212765957446809,1.29459901800327,0.456705496190211,0.410041616905059,0.940187473723539,0.940187473723539,"3915/3480/3912",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","1/117","32/7119",0.03125,1.90144230769231,0.660606099616145,0.412250161468586,0.940187473723539,0.940187473723539,"55808",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","1/117","34/7119",0.0294117647058824,1.789592760181,0.596531742692079,0.43149775984196,0.940187473723539,0.940187473723539,"7852",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","2/117","89/7119",0.0224719101123595,1.36732929991357,0.450747971976553,0.431872780320327,0.940187473723539,0.940187473723539,"10451/7462",2,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","4/117","204/7119",0.0196078431372549,1.19306184012066,0.36163986814465,0.432996531242805,0.940187473723539,0.940187473723539,"2026/4604/85301/22989",4,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","1/117","35/7119",0.0285714285714286,1.73846153846154,0.566087410031711,0.440885870229891,0.940187473723539,0.940187473723539,"6652",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","2/117","91/7119",0.021978021978022,1.33727810650888,0.418556258653873,0.44311045500317,0.940187473723539,0.940187473723539,"3915/3912",2,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","3/117","149/7119",0.0201342281879195,1.22509034589571,0.358917375323255,0.445142418088325,0.940187473723539,0.940187473723539,"29119/1496/25937",3,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","2/117","92/7119",0.0217391304347826,1.32274247491639,0.402741080992338,0.448683887893912,0.940187473723539,0.940187473723539,"1644/59345",2,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","3/117","150/7119",0.02,1.21692307692308,0.347077949301525,0.449475926204626,0.940187473723539,0.940187473723539,"59345/10451/7852",3,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","1/117","36/7119",0.0277777777777778,1.69017094017094,0.536611737890373,0.450120250972848,0.940187473723539,0.940187473723539,"6675",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","1/117","37/7119",0.027027027027027,1.64449064449064,0.508042901618939,0.459203398034287,0.940187473723539,0.940187473723539,"6675",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/117","94/7119",0.0212765957446809,1.29459901800327,0.371648964302134,0.459737358894486,0.940187473723539,0.940187473723539,"8647/3480",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","1/117","38/7119",0.0263157894736842,1.60121457489879,0.48032464561303,0.468137767199776,0.940187473723539,0.940187473723539,"27232",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","1/117","38/7119",0.0263157894736842,1.60121457489879,0.48032464561303,0.468137767199776,0.940187473723539,0.940187473723539,"27232",1,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","1/117","39/7119",0.0256410256410256,1.56015779092702,0.453405647076087,0.476925774718152,0.940187473723539,0.940187473723539,"2181",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","1/117","40/7119",0.025,1.52115384615385,0.427238966897069,0.485569797932556,0.940187473723539,0.940187473723539,"3480",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","1/117","40/7119",0.025,1.52115384615385,0.427238966897069,0.485569797932556,0.940187473723539,0.940187473723539,"1612",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","2/117","99/7119",0.0202020202020202,1.22921522921523,0.296861159763995,0.486804923244838,0.940187473723539,0.940187473723539,"3915/3912",2,"KEGG","Bica_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","2/117","100/7119",0.02,1.21692307692308,0.282376794777796,0.49211814538423,0.940187473723539,0.940187473723539,"2026/3480",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","1/117","41/7119",0.024390243902439,1.48405253283302,0.401781573847662,0.494072175901462,0.940187473723539,0.940187473723539,"126",1,"KEGG","Bica_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","3/117","162/7119",0.0185185185185185,1.12678062678063,0.21098922145497,0.500346373690955,0.940187473723539,0.940187473723539,"1612/64422/3480",3,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","1/117","42/7119",0.0238095238095238,1.44871794871795,0.376993930768976,0.502435210009901,0.940187473723539,0.940187473723539,"1644",1,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","1/117","43/7119",0.0232558139534884,1.41502683363148,0.35283963339462,0.510661164570993,0.940187473723539,0.940187473723539,"7367",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","1/117","44/7119",0.0227272727272727,1.38286713286713,0.329285094051451,0.518752267417967,0.940187473723539,0.940187473723539,"8913",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","1/117","45/7119",0.0222222222222222,1.35213675213675,0.306299263772146,0.526710710486815,0.940187473723539,0.940187473723539,"8647",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","1/117","45/7119",0.0222222222222222,1.35213675213675,0.306299263772146,0.526710710486815,0.940187473723539,0.940187473723539,"715",1,"KEGG","Bica_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","1/117","46/7119",0.0217391304347826,1.32274247491639,0.283853387407443,0.534538650389705,0.940187473723539,0.940187473723539,"4094",1,"KEGG","Bica_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","2/117","110/7119",0.0181818181818182,1.10629370629371,0.145223444215603,0.543319929145462,0.940187473723539,0.940187473723539,"2289/9687",2,"KEGG","Bica_vs_Control_DHT"
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","2/117","111/7119",0.018018018018018,1.0963270963271,0.132212884832737,0.548241907112407,0.940187473723539,0.940187473723539,"6604/8332",2,"KEGG","Bica_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","1/117","48/7119",0.0208333333333333,1.2676282051282,0.240476670902877,0.549811473904302,0.940187473723539,0.940187473723539,"5320",1,"KEGG","Bica_vs_Control_DHT"
