"Pathway","Gene","Contrast","Database","p.adjust"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","6319","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","3157","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","6646","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","1717","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","9619","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","3156","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","2222","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","9415","Enza_vs_Control_DHT","WikiPathways",1.15184163850849e-08
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","60481","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","2181","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","2194","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","2180","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","6319","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","9415","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","79966","Enza_vs_Control_DHT","WikiPathways",1.31632757841944e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","60481","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","2181","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","403313","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","10682","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","1718","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","2180","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","6319","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","3157","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","1717","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","9619","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","3156","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","8647","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","2222","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","9415","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","1583","Enza_vs_Control_DHT","WikiPathways",6.54399695673673e-05
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","10682","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","1718","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","3157","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","1717","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","3156","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","2222","Enza_vs_Control_DHT","WikiPathways",0.000728470078712713
"WP_CHOLESTEROL_METABOLISM","3949","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","10682","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","1718","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","3157","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","6646","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","4864","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","1717","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","3156","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","8647","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_CHOLESTEROL_METABOLISM","2222","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","31","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","3949","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","23175","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","2194","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","1622","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","6319","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","3157","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","3156","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","2222","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","3638","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","6675","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","3949","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","2194","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","6510","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","6646","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","3156","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","2746","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","8501","Enza_vs_Control_DHT","WikiPathways",0.00186800277616809
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","3949","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","10682","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","1718","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","3157","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","1717","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","3156","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","2222","Enza_vs_Control_DHT","WikiPathways",0.00250369007283674
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","3949","Enza_vs_Control_DHT","WikiPathways",0.00536655305189897
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","2194","Enza_vs_Control_DHT","WikiPathways",0.00536655305189897
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","6319","Enza_vs_Control_DHT","WikiPathways",0.00536655305189897
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","3157","Enza_vs_Control_DHT","WikiPathways",0.00536655305189897
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","3156","Enza_vs_Control_DHT","WikiPathways",0.00536655305189897
"WP_FATTY_ACID_BIOSYNTHESIS","31","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FATTY_ACID_BIOSYNTHESIS","2181","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FATTY_ACID_BIOSYNTHESIS","2194","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FATTY_ACID_BIOSYNTHESIS","2180","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FATTY_ACID_BIOSYNTHESIS","6319","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","2181","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","2180","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","6510","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","3156","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","8644","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","2222","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","1645","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_FERROPTOSIS","1803","Enza_vs_Control_DHT","WikiPathways",0.0180762568868149
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","10257","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","3248","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","8644","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","5734","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","1645","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","1583","Enza_vs_Control_DHT","WikiPathways",0.023595437256331
"WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","3949","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","6646","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","3156","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","2222","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","64714","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","3157","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","1717","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","3156","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","2222","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","60481","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","2181","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","2180","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS","9415","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","10682","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","1718","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","1717","Enza_vs_Control_DHT","WikiPathways",0.0236569885135283
"WP_CHOLESTASIS","10257","Enza_vs_Control_DHT","WikiPathways",0.045535871092956
"WP_CHOLESTASIS","3949","Enza_vs_Control_DHT","WikiPathways",0.045535871092956
"WP_CHOLESTASIS","3156","Enza_vs_Control_DHT","WikiPathways",0.045535871092956
"WP_CHOLESTASIS","8647","Enza_vs_Control_DHT","WikiPathways",0.045535871092956
"Fatty acid metabolism","60481","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","79993","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","31","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","2181","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","2194","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","2180","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","6319","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","9415","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","126129","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","79966","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Fatty acid metabolism","9200","Enza_vs_Control_DHT","KEGG",0.000220109288013069
"Biosynthesis of unsaturated fatty acids","60481","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Biosynthesis of unsaturated fatty acids","79993","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Biosynthesis of unsaturated fatty acids","6319","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Biosynthesis of unsaturated fatty acids","9415","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Biosynthesis of unsaturated fatty acids","79966","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Biosynthesis of unsaturated fatty acids","9200","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Steroid biosynthesis","10682","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Steroid biosynthesis","1718","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Steroid biosynthesis","6646","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Steroid biosynthesis","1717","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Steroid biosynthesis","2222","Enza_vs_Control_DHT","KEGG",0.0136075336967564
"Bile secretion","10257","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","3949","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","3781","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","7367","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","8671","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","3156","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","9429","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","8647","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"Bile secretion","113","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","2181","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","1622","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","2180","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","6319","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","3157","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","9415","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","126129","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"PPAR signaling pathway","79966","Enza_vs_Control_DHT","KEGG",0.0381838237092341
"REACTOME_METABOLISM_OF_STEROIDS","6604","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","31","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","403313","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","2194","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","10682","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","1718","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","6319","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","3157","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","1717","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","3156","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","8647","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","8644","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","2222","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","3638","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","51171","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","1645","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","1583","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_METABOLISM_OF_STEROIDS","9256","Enza_vs_Control_DHT","Reactome",2.88670736041901e-05
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","60481","Enza_vs_Control_DHT","Reactome",0.000104370949580161
