"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","5/215","81/7119",0.0617283950617284,2.04392764857881,1.66738583891483,0.0974976932532328,0.742065776427383,0.729807294527123,"59345/51764/113/8913/775",5,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","4/215","59/7119",0.0677966101694915,2.24485612928656,1.69430131423144,0.101996584868481,0.755326060917942,0.742848527064898,"129642/8611/23175/80168",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","3/215","38/7119",0.0789473684210526,2.6140758873929,1.76041994853176,0.106095021571416,0.765000945014949,0.752363587874863,"27232/29958/51268",3,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","2/215","19/7119",0.105263157894737,3.48543451652387,1.9142461481152,0.110987704614095,0.779759770878511,0.766878606780249,"168620/222546",2,"KEGG","Enza_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","7/215","137/7119",0.0510948905109489,1.69183500254626,1.44284846782785,0.120250648103732,0.795116097577906,0.781981256165747,"113457/3108/715/9902/112714/81035/3105",7,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","5/215","89/7119",0.0561797752808989,1.86020381499869,1.44100847675766,0.131037193289036,0.795116097577906,0.781981256165747,"79054/5583/2150/5734/113",5,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","2/215","21/7119",0.0952380952380952,3.15348837209302,1.74394189690042,0.131152123256509,0.795116097577906,0.781981256165747,"90161/2134",2,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","2/215","21/7119",0.0952380952380952,3.15348837209302,1.74394189690042,0.131152123256509,0.795116097577906,0.781981256165747,"116285/3157",2,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","2/215","21/7119",0.0952380952380952,3.15348837209302,1.74394189690042,0.131152123256509,0.795116097577906,0.781981256165747,"8671/2746",2,"KEGG","Enza_vs_Control_DHT"
NA,NA,"hsa03272","Virion - Hepatitis viruses","3/215","42/7119",0.0714285714285714,2.36511627906977,1.56573234554516,0.132589197388953,0.795116097577906,0.781981256165747,"3949/9073/1803",3,"KEGG","Enza_vs_Control_DHT"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","5/215","90/7119",0.0555555555555556,1.83953488372093,1.41436356416534,0.135558354019025,0.795116097577906,0.781981256165747,"3480/5797/1496/29119/6591",5,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05330","Allograft rejection","2/215","22/7119",0.0909090909090909,3.01014799154334,1.66628697885884,0.141527706604412,0.795116097577906,0.781981256165747,"3108/3105",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","2/215","22/7119",0.0909090909090909,3.01014799154334,1.66628697885884,0.141527706604412,0.795116097577906,0.781981256165747,"3108/3105",2,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Metabolism of other amino acids","hsa00440","Phosphonate and phosphinate metabolism","1/215","5/7119",0.2,6.62232558139535,2.21917674941373,0.142192294822326,0.795116097577906,0.781981256165747,"5833",1,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","3/215","44/7119",0.0681818181818182,2.25761099365751,1.47658098625187,0.14661961485975,0.796072503026991,0.782921862369995,"6833/8913/775",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","2/215","23/7119",0.0869565217391304,2.87927199191102,1.59292227824685,0.152071137744822,0.796072503026991,0.782921862369995,"3157/3156",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","2/215","23/7119",0.0869565217391304,2.87927199191102,1.59292227824685,0.152071137744822,0.796072503026991,0.782921862369995,"3108/3105",2,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","4/215","70/7119",0.0571428571428571,1.89209302325581,1.32355879447361,0.160536720843295,0.796072503026991,0.782921862369995,"3781/6833/113/775",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","2/215","24/7119",0.0833333333333333,2.7593023255814,1.52341324857752,0.162762949011137,0.796072503026991,0.782921862369995,"5320/9415",2,"KEGG","Enza_vs_Control_DHT"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","9/215","204/7119",0.0441176470588235,1.46080711354309,1.17838171971752,0.163756619603115,0.796072503026991,0.782921862369995,"2026/6383/4604/85301/10611/4703/1290/22989/284217",9,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","10/215","233/7119",0.0429184549356223,1.42109991017068,1.15326053494093,0.166716112724525,0.796072503026991,0.782921862369995,"1135/4986/2897/2898/2150/2550/5734/148/6755/1907",10,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","3/215","47/7119",0.0638297872340425,2.11350816427511,1.35150930166483,0.168511697721042,0.796072503026991,0.782921862369995,"6611/27232/6723",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","3/215","47/7119",0.0638297872340425,2.11350816427511,1.35150930166483,0.168511697721042,0.796072503026991,0.782921862369995,"6611/8659/6723",3,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","18/215","468/7119",0.0384615384615385,1.27352415026834,1.08024673061092,0.171921447214968,0.798414856557647,0.785225521624116,"1612/3915/59345/3480/7855/4824/51764/1496/5734/5979/113/354/29119/3912/112399/7852/2113/284217",18,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/215","99/7119",0.0505050505050505,1.6723044397463,1.18867423943655,0.17918146025804,0.818262001845051,0.804744803965935,"3915/3949/3108/3912/284217",5,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/215","100/7119",0.05,1.65558139534884,1.16502925090866,0.184327220762528,0.827961614572665,0.81428418490435,"9073/1496/10451/29119/7852",5,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/215","102/7119",0.0490196078431373,1.62311901504788,1.11851852781005,0.19477923026583,0.858812185317615,0.844625122709603,"657/100532736/269/4681/8646",5,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","2/215","28/7119",0.0714285714285714,2.36511627906977,1.27715247427328,0.206659201340215,0.858812185317615,0.844625122709603,"10257/9429",2,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","2/215","28/7119",0.0714285714285714,2.36511627906977,1.27715247427328,0.206659201340215,0.858812185317615,0.844625122709603,"25937/8463",2,"KEGG","Enza_vs_Control_DHT"
NA,NA,"hsa04981","Folate transport and metabolism","2/215","28/7119",0.0714285714285714,2.36511627906977,1.27715247427328,0.206659201340215,0.858812185317615,0.844625122709603,"10257/9429",2,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/215","52/7119",0.0576923076923077,1.9102862254025,1.16254541472382,0.206867168726141,0.858812185317615,0.844625122709603,"6611/9588/6723",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","2/215","29/7119",0.0689655172413793,2.28356054530874,1.2221937847886,0.217834879039418,0.872331854967993,0.857921455519809,"7367/51171",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/215","29/7119",0.0689655172413793,2.28356054530874,1.2221937847886,0.217834879039418,0.872331854967993,0.857921455519809,"3108/3105",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","6/215","136/7119",0.0441176470588235,1.46080711354309,0.957448533600507,0.228185231528098,0.872331854967993,0.857921455519809,"3949/7855/113/8913/775/1583",6,"KEGG","Enza_vs_Control_DHT"
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","4/215","81/7119",0.0493827160493827,1.63514211886305,1.01446395842887,0.228457326429757,0.872331854967993,0.857921455519809,"2181/5192/2180/51268",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","2/215","30/7119",0.0666666666666667,2.20744186046512,1.16945145305229,0.229061954047403,0.872331854967993,0.857921455519809,"1644/126",2,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","4/215","82/7119",0.048780487804878,1.61520136131594,0.988731268581066,0.234971862287819,0.872331854967993,0.857921455519809,"6510/85301/1290/1803",4,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","3/215","56/7119",0.0535714285714286,1.77383720930233,1.02588067618234,0.238827508135084,0.872331854967993,0.857921455519809,"5734/1907/775",3,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","3/215","56/7119",0.0535714285714286,1.77383720930233,1.02588067618234,0.238827508135084,0.872331854967993,0.857921455519809,"3108/3105/284217",3,"KEGG","Enza_vs_Control_DHT"
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","1/215","9/7119",0.111111111111111,3.67906976744186,1.41911734533476,0.241304233773687,0.872331854967993,0.857921455519809,"4864",1,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/215","32/7119",0.0625,2.06947674418605,1.06994868293443,0.251618145205105,0.872331854967993,0.857921455519809,"51809/55808",2,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","4/215","85/7119",0.0470588235294118,1.55819425444596,0.913569250194482,0.254772326429027,0.872331854967993,0.857921455519809,"5320/8671/113/7220",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","3/215","58/7119",0.0517241379310345,1.71267040898156,0.961650912776937,0.255114978723291,0.872331854967993,0.857921455519809,"7367/220/126",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","3/215","58/7119",0.0517241379310345,1.71267040898156,0.961650912776937,0.255114978723291,0.872331854967993,0.857921455519809,"2153/715/3053",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Sensory system","hsa04742","Taste transduction","3/215","58/7119",0.0517241379310345,1.71267040898156,0.961650912776937,0.255114978723291,0.872331854967993,0.857921455519809,"2550/51764/775",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","2/215","33/7119",0.0606060606060606,2.00676532769556,1.02289834680857,0.262923015526987,0.872331854967993,0.857921455519809,"6652/7367",2,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","3/215","59/7119",0.0508474576271186,1.68364209696492,0.930465518144201,0.263317749822656,0.872331854967993,0.857921455519809,"84441/196403/171558",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","1/215","10/7119",0.1,3.31116279069767,1.29054784559838,0.264246510811472,0.872331854967993,0.857921455519809,"8991",1,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","2/215","34/7119",0.0588235294117647,1.94774281805746,0.977479963003745,0.274230727621415,0.886151659314305,0.871512964980646,"3108/7852",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/215","88/7119",0.0454545454545455,1.50507399577167,0.841270434816237,0.274901062196043,0.886151659314305,0.871512964980646,"113/775/27092/284217",4,"KEGG","Enza_vs_Control_DHT"
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","3/215","62/7119",0.0483870967741935,1.60217554388597,0.840343277191414,0.288104376577965,0.907363208992671,0.892374112570587,"22936/23299/7852",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/215","62/7119",0.0483870967741935,1.60217554388597,0.840343277191414,0.288104376577965,0.907363208992671,0.892374112570587,"2181/2180/126129",3,"KEGG","Enza_vs_Control_DHT"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/215","178/7119",0.0393258426966292,1.30214267049909,0.720375398459722,0.291735642330287,0.908358704528394,0.893353163116669,"10257/2550/113/10451/6755/1907/775",7,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","3/215","63/7119",0.0476190476190476,1.57674418604651,0.811375788799361,0.296410608255421,0.912545018673993,0.897470321861476,"1687/58511/79792",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","6/215","150/7119",0.04,1.32446511627907,0.708722531125398,0.300030170069243,0.913425184433028,0.898335947809663,"59345/2868/51764/113/10451/7852",6,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","3/215","64/7119",0.046875,1.55210755813953,0.78291209224835,0.304731429332778,0.91754298502397,0.902385724802675,"7367/126/1645",3,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/215","38/7119",0.0526315789473684,1.74271725826193,0.8100574996353,0.319290460395533,0.940705227401892,0.925165340817842,"51166/1644",2,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","2/215","38/7119",0.0526315789473684,1.74271725826193,0.8100574996353,0.319290460395533,0.940705227401892,0.925165340817842,"27232/29958",2,"KEGG","Enza_vs_Control_DHT"
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/215","39/7119",0.0512820512820513,1.69803220035778,0.771327760754556,0.330467888181683,0.963278737891289,0.947365950442451,"2181/2180",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","7/215","187/7119",0.0374331550802139,1.2394727024002,0.585592319310558,0.335574165779308,0.96786654130032,0.951877966088674,"10096/113457/4643/112714/4671/9073/4430",7,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/215","14/7119",0.0714285714285714,2.36511627906977,0.902192999322922,0.349313262879177,0.986016166639918,0.969727770494886,"1644",1,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/215","99/7119",0.0404040404040404,1.33784355179704,0.597327495163398,0.350381643867054,0.986016166639918,0.969727770494886,"3480/7113/4824/354",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","2/215","41/7119",0.048780487804878,1.61520136131594,0.697110729926357,0.352662716535445,0.986016166639918,0.969727770494886,"31/126",2,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","4/215","101/7119",0.0396039603960396,1.31135160027631,0.556100054484841,0.364219075479979,0.997356409857914,0.980880679691225,"3108/715/8970/8332",4,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","1/215","15/7119",0.0666666666666667,2.20744186046512,0.826053568742109,0.369003290814572,0.997356409857914,0.980880679691225,"2746",1,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","4/215","103/7119",0.0388349514563107,1.28588846240686,0.515725115159327,0.378046210541682,0.997356409857914,0.980880679691225,"59345/51764/113/775",4,"KEGG","Enza_vs_Control_DHT"
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","1/215","16/7119",0.0625,2.06947674418605,0.755715377919225,0.388100178831867,0.997356409857914,0.980880679691225,"27328",1,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Immune disease","hsa05310","Asthma","1/215","16/7119",0.0625,2.06947674418605,0.755715377919225,0.388100178831867,0.997356409857914,0.980880679691225,"3108",1,"KEGG","Enza_vs_Control_DHT"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","2/215","45/7119",0.0444444444444444,1.47162790697674,0.560042589060571,0.396229562821615,0.997356409857914,0.980880679691225,"3108/715",2,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","3/215","76/7119",0.0394736842105263,1.30703794369645,0.474862452559001,0.404279830141167,0.997356409857914,0.980880679691225,"4094/3108/84441",3,"KEGG","Enza_vs_Control_DHT"
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","1/215","17/7119",0.0588235294117647,1.94774281805746,0.690354975447893,0.406621713613107,0.997356409857914,0.980880679691225,"3817",1,"KEGG","Enza_vs_Control_DHT"
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","2/215","46/7119",0.0434782608695652,1.43963599595551,0.527859280008989,0.406916846490298,0.997356409857914,0.980880679691225,"11112/3157",2,"KEGG","Enza_vs_Control_DHT"
